1,61259910862
2,61259947422
3,61259980747
4,61260010898
5,61260046237
6,61260080234
7,61260114963
8,61260148776
9,61260180514
10,61260212985
11,61260247531
12,61260279086
13,61260312106
14,61260343905
15,61260375948
16,61260407992
17,61260436678
18,61260470858
19,61260500460
20,61260530062
21,61260563509
22,61260594149
23,61260627596
24,61260660310
25,61260693636
26,61260724336
27,61260756868
28,61260789094
29,61260818208
30,61260852266
31,61260884187
32,61260917024
33,61260951386
34,61260984712
35,61261018037
36,61261051606
37,61261103791
38,61261147797
39,61261181794
40,61261217926
41,61261250763
42,61261286346
43,61261332672
44,61261378082
45,61261411712
46,61261443267
47,61261476837
48,61261512054
49,61261542571
50,61261578399
51,61261610503
52,61261645965
53,61261678191
54,61261710479
55,61261743743
56,61261777922
57,61261811125
58,61261842436
59,61261877165
60,61261910246
61,61261940398
62,61261973234
63,61262007292
64,61262049284
65,61262084562
66,61262116117
67,61262149626
68,61262185209
69,61262219022
70,61262252286
71,61262284025
72,61262315885
73,61262348478
74,61262383084
75,61262416410
76,61262455533
77,61262543851
78,61262644314
79,61262723904
80,61262806667
81,61262909267
82,61263001979
83,61263085658
84,61263163173
85,61263244471
86,61263324061
87,61263406580
88,61263487391
89,61263566919
90,61263648096
91,61263731531
92,61263812402
93,61263876245
94,61263928735
95,61263983788
96,61264036645
97,61264082238
98,61264118004
99,61264152794
100,61264186425
101,61264221459
102,61264253685
103,61264302025
104,61264337181
105,61264371116
106,61264402000
107,61264439170
108,61264472435
109,61264507041
110,61264540122
111,61264574241
112,61264603233
113,61264640769
114,61264673545
115,61264718711
116,61264829184
117,61264911581
118,61264978293
119,61265061178
120,61265122213
121,61265184591
122,61265247518
123,61265307943
124,61265372029
125,61265435201
126,61265497273
127,61265558369
128,61265621846
129,61265688252
130,61265748188
131,61265817890
132,61265880695
133,61265944843
134,61266004962
135,61266069415
136,61266131671
137,61266193438
138,61266246173
139,61266280779
140,61266315081
141,61266350970
142,61266384051
143,61266415667
144,61266449846
145,61266484209
146,61266515154
147,61266551470
148,61266582475
149,61266616106
150,61266646623
151,61266679643
152,61266712541
153,61266743913
154,61266773881
155,61266804399
156,61266836564
157,61266870317
158,61266901261
159,61266932877
160,61266965470
161,61266994340
162,61267028092
163,61267057450
164,61267086564
165,61267118790
166,61267150345
167,61267183548
168,61267217606
169,61267247086
170,61267279434
171,61267310928
172,61267342300
173,61267373184
174,61267402115
175,61267434890
176,61267466018
177,61267496963
178,61267529678
179,61267560561
180,61267591201
181,61267622695
182,61267653029
183,61267684401
184,61267716994
185,61267747328
186,61267780715
187,61267810683
188,61267843092
189,61267874403
190,61267904310
191,61267938002
192,61267969496
193,61268000135
194,61268032240
195,61268065260
196,61268097120
197,61268128675
198,61268158949
